userId1,user1,userId2,user2
0,Geralda,23,Bernardo
0,Geralda,70,Honor
0,Geralda,59,Ronen
1,Phedra,77,Stavros
1,Phedra,59,Ronen
1,Phedra,94,Adriena
1,Phedra,71,Theda
1,Phedra,47,Norene
1,Phedra,62,Yolane
1,Phedra,36,Florry
1,Phedra,70,Honor
1,Phedra,28,Vern
2,Dodi,6,Huey
2,Dodi,87,Glenine
2,Dodi,92,Lee
3,Robenia,63,Alphonso
3,Robenia,64,Jordana
3,Robenia,24,Kyrstin
3,Robenia,22,Laurens
3,Robenia,9,Marcel
3,Robenia,28,Vern
4,Clark,40,Jud
4,Clark,69,Berna
4,Clark,14,Shepperd
5,Gwenny,15,Wye
5,Gwenny,23,Bernardo
6,Huey,10,Dorthea
6,Huey,66,Petronella
6,Huey,57,Blanche
6,Huey,53,Reyna
6,Huey,29,Wyatan
6,Huey,64,Jordana
6,Huey,38,Gustie
6,Huey,4,Clark
6,Huey,67,Jenilee
6,Huey,30,Marchelle
7,Jodie,49,Jessika
7,Jodie,26,Angelique
7,Jodie,49,Jessika
7,Jodie,72,Solomon
7,Jodie,99,Loria
8,Elbert,38,Gustie
8,Elbert,32,Aimee
8,Elbert,34,Ree
9,Marcel,50,Prissie
9,Marcel,66,Petronella
9,Marcel,22,Laurens
9,Marcel,41,Brea
9,Marcel,10,Dorthea
9,Marcel,26,Angelique
9,Marcel,20,Crystie
9,Marcel,14,Shepperd
9,Marcel,58,Lynnea
10,Dorthea,70,Honor
10,Dorthea,91,Jordanna
10,Dorthea,46,Stormi
10,Dorthea,75,Celisse
11,Garfinkel,52,Marylin
11,Garfinkel,42,Renato
11,Garfinkel,4,Clark
11,Garfinkel,30,Marchelle
11,Garfinkel,56,Amandy
11,Garfinkel,36,Florry
11,Garfinkel,64,Jordana
11,Garfinkel,14,Shepperd
11,Garfinkel,6,Huey
11,Garfinkel,47,Norene
13,Warden,92,Lee
13,Warden,27,Thorny
14,Shepperd,37,Grata
14,Shepperd,91,Jordanna
14,Shepperd,29,Wyatan
14,Shepperd,47,Norene
14,Shepperd,32,Aimee
16,Nelie,83,Sadie
16,Nelie,63,Alphonso
17,Rod,90,Marris
17,Rod,36,Florry
17,Rod,19,Demetri
17,Rod,95,Danika
18,Ingunna,94,Adriena
19,Demetri,84,Algernon
19,Demetri,41,Brea
19,Demetri,22,Laurens
20,Crystie,74,Sibylle
20,Crystie,4,Clark
20,Crystie,65,Kass
21,Kenny,64,Jordana
21,Kenny,98,Bambi
21,Kenny,99,Loria
21,Kenny,27,Thorny
22,Laurens,25,Jordon
22,Laurens,26,Angelique
22,Laurens,26,Angelique
23,Bernardo,32,Aimee
23,Bernardo,94,Adriena
23,Bernardo,46,Stormi
23,Bernardo,47,Norene
23,Bernardo,64,Jordana
23,Bernardo,29,Wyatan
24,Kyrstin,42,Renato
24,Kyrstin,38,Gustie
25,Jordon,46,Stormi
25,Jordon,97,Mala
25,Jordon,91,Jordanna
25,Jordon,12,Traver
25,Jordon,33,Dianna
25,Jordon,99,Loria
25,Jordon,88,Rob
26,Angelique,98,Bambi
26,Angelique,53,Reyna
27,Thorny,70,Honor
27,Thorny,40,Jud
27,Thorny,33,Dianna
28,Vern,46,Stormi
